"Genes","Process_name","Significant_genes_count","Total_genes_group_count","Percent_significant_genes","P-value","Padj-value"
"Ifitm2;","GO:0035456~response to interferon-beta",1,8,12.5,0.0665656515907663,0.150683519637438
"Gas6; Star;","GO:0035457~cellular response to interferon-alpha",2,9,22.2222222222222,0.00303705559598555,0.0839408421668228
"Ifi204;","GO:0035458~cellular response to interferon-beta",1,39,2.56410256410256,0.263885154240616,0.322959075608133
"Tnf;","GO:0035509~negative regulation of myosin-light-chain-phosphatase activity",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Hmox1; Kalrn;","GO:0035556~intracellular signal transduction",2,407,0.491400491400491,0.821604586368849,0.835032240487237
"Igf1;","GO:0035630~bone mineralization involved in bone maturation",1,5,20,0.044881610440662,0.132908340441841
"Ptgs1;","GO:0035633~maintenance of permeability of blood-brain barrier",1,5,20,0.044881610440662,0.132908340441841
"Gas6; Gstm1; Mylk;","GO:0035690~cellular response to drug",3,52,5.76923076923077,0.00854179930417942,0.120766874434933
"Rsad2;","GO:0035710~CD4-positive, alpha-beta T cell activation",1,2,50,0.0226968899691784,0.120766874434933
"Ttc21a;","GO:0035721~intraciliary retrograde transport",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Gas6;","GO:0035754~B cell chemotaxis",1,5,20,0.044881610440662,0.132908340441841
"Mylk;","GO:0035865~cellular response to potassium ion",1,5,20,0.044881610440662,0.132908340441841
"Csf1r;","GO:0036006~cellular response to macrophage colony-stimulating factor stimulus",1,5,20,0.044881610440662,0.132908340441841
"Ank2;","GO:0036309~protein localization to M-band",1,1,100,0.015188742610548,0.120766874434933
"Ank2;","GO:0036371~protein localization to T-tubule",1,1,100,0.015188742610548,0.120766874434933
"Mcub;","GO:0036444~mitochondrial calcium uptake",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Ppp1r15a;","GO:0036496~regulation of translational initiation by eIF2 alpha dephosphorylation",1,1,100,0.015188742610548,0.120766874434933
"Col1a1; Gp6;","GO:0038063~collagen-activated tyrosine kinase receptor signaling pathway",2,11,18.1818181818182,0.0042641865636911,0.0942859029082809
"Gp6;","GO:0038065~collagen-activated signaling pathway",1,5,20,0.044881610440662,0.132908340441841
"Fcer1g;","GO:0038094~Fc-gamma receptor signaling pathway",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Csf1r;","GO:0038145~macrophage colony-stimulating factor signaling pathway",1,2,50,0.0226968899691784,0.120766874434933
"Gas6; Igfbp4;","GO:0040008~regulation of growth",2,68,2.94117647058824,0.0997708025622152,0.181210358830769
"Slc12a5;","GO:0040040~thermosensory behavior",1,1,100,0.015188742610548,0.120766874434933
"Aqp1; Col1a1; Treml1;","GO:0042060~wound healing",3,71,4.22535211267606,0.0190082089628014,0.120766874434933
"Lrp5;","GO:0042074~cell migration involved in gastrulation",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Cd151;","GO:0042098~T cell proliferation",1,25,4,0.180513002792551,0.253329249335104
"Slc4a1;","GO:0042102~positive regulation of T cell proliferation",1,63,1.58730158730159,0.387653853695113,0.429527376867079
"Igf1;","GO:0042104~positive regulation of activated T cell proliferation",1,25,4,0.180513002792551,0.253329249335104
"Cxcl2; Igf1; Ndrg1; Ppbp; Ptgs1; Tnf;","GO:0042127~regulation of cell proliferation",6,228,2.63157894736842,0.00923703496651407,0.120766874434933
"Ldlr; Mttp;","GO:0042157~lipoprotein metabolic process",2,18,11.1111111111111,0.0100303807537894,0.120766874434933
"Ldlr;","GO:0042159~lipoprotein catabolic process",1,4,25,0.0375428967404717,0.128368323906424
"Hmox1;","GO:0042167~heme catabolic process",1,4,25,0.0375428967404717,0.128368323906424
"Hebp1; Hmox1;","GO:0042168~heme metabolic process",2,7,28.5714285714286,0.00200791950953483,0.0744645692284336
"Gstm1;","GO:0042178~xenobiotic catabolic process",1,8,12.5,0.0665656515907663,0.150683519637438
"P2rx1;","GO:0042310~vasoconstriction",1,19,5.26315789473684,0.141969078480701,0.219006562927592
"Trf;","GO:0042327~positive regulation of phosphorylation",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Tnf;","GO:0042346~positive regulation of NF-kappaB import into nucleus",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Epas1;","GO:0042415~norepinephrine metabolic process",1,10,10,0.0807490818296668,0.162313810950542
"Epas1;","GO:0042421~norepinephrine biosynthetic process",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Tifab;","GO:0042472~inner ear morphogenesis",1,73,1.36986301369863,0.432900378116437,0.469211194145811
"Aqp1; Slc12a5;","GO:0042493~response to drug",2,144,1.38888888888889,0.306009915378749,0.358211606825712
"Csf1r; Igf1;","GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein",2,49,4.08163265306122,0.0577633536257937,0.146276255933576
"Fcgr3;","GO:0042535~positive regulation of tumor necrosis factor biosynthetic process",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Hmox1; Hp; Slc4a1;","GO:0042542~response to hydrogen peroxide",3,38,7.89473684210526,0.0037508835020359,0.0888602162982313
"Fcer1g; Fcgr3;","GO:0042590~antigen processing and presentation of exogenous peptide antigen via MHC class I",2,5,40,0.00118310179953363,0.0692462523844681
"Ldlr; Lrp5; Mttp; Nr1h3;","GO:0042632~cholesterol homeostasis",4,66,6.06060606060606,0.0020206466021786,0.0744645692284336
"Kalrn;","GO:0042711~maternal behavior",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Serping1;","GO:0042730~fibrinolysis",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Lrp5;","GO:0042733~embryonic digit morphogenesis",1,66,1.51515151515152,0.40159213969005,0.442997981143681
"Fcer1g; Hp; Tnf;","GO:0042742~defense response to bacterium",3,287,1.04529616724739,0.380738538096861,0.423752623497065
"Hacd4;","GO:0042761~very long-chain fatty acid biosynthetic process",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Ifi204;","GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Mttp;","GO:0042953~lipoprotein transport",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Ank2; Lrp5;","GO:0042981~regulation of apoptotic process",2,230,0.869565217391304,0.52985409721196,0.561552497173999
"Nr1h3;","GO:0043031~negative regulation of macrophage activation",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Adamtsl4; Alox12; Gadd45b; Hmox1; Hpgd; Tnf; Tnfrsf12a;","GO:0043065~positive regulation of apoptotic process",7,322,2.17391304347826,0.0133252759569128,0.120766874434933
"Alox12; Aqp1; Cln8; Csf1r; Gas6; Igf1; Plk3; Slc40a1;","GO:0043066~negative regulation of apoptotic process",8,500,1.6,0.0413333365850476,0.132908340441841
"Tnf;","GO:0043068~positive regulation of programmed cell death",1,10,10,0.0807490818296668,0.162313810950542
"Tnf;","GO:0043122~regulation of I-kappaB kinase/NF-kappaB signaling",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Clec4n; Hmox1; Tnf;","GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling",3,127,2.36220472440945,0.0774077994258937,0.162313810950542
"Epas1;","GO:0043129~surfactant homeostasis",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Aqp1; Gas6; Igf1;","GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",3,68,4.41176470588235,0.0170378941217443,0.120766874434933
"Tnf;","GO:0043242~negative regulation of protein complex disassembly",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Tnf;","GO:0043243~positive regulation of protein complex disassembly",1,4,25,0.0375428967404717,0.128368323906424
"Slco2a1;","GO:0043252~sodium-independent organic anion transport",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Ank2;","GO:0043268~positive regulation of potassium ion transport",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"P2rx1;","GO:0043270~positive regulation of ion transport",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Gas6; Marco; Nr1h3;","GO:0043277~apoptotic cell clearance",3,16,18.75,0.000385495007862668,0.051080023435928
"Alox12; Tnf;","GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",2,48,4.16666666666667,0.0557699720486114,0.146276255933576
"Hmox1;","GO:0043305~negative regulation of mast cell degranulation",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Fcer1g;","GO:0043306~positive regulation of mast cell degranulation",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Rsad2;","GO:0043367~CD4-positive, alpha-beta T cell differentiation",1,5,20,0.044881610440662,0.132908340441841
"Igf1;","GO:0043388~positive regulation of DNA binding",1,32,3.125,0.223310346888766,0.290070228660996
"Hmox1;","GO:0043392~negative regulation of DNA binding",1,30,3.33333333333333,0.211314495174813,0.281093479544036
"Nr1h3;","GO:0043401~steroid hormone mediated signaling pathway",1,53,1.88679245283019,0.338820340315684,0.386169803681679
"Tnf;","GO:0043406~positive regulation of MAP kinase activity",1,51,1.96078431372549,0.328598714170652,0.377111557785235
"Igf1; Igfbp4;","GO:0043410~positive regulation of MAPK cascade",2,97,2.06185567010309,0.174487545679023,0.248376406224074
"Gas6; Hmox1;","GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity",2,72,2.77777777777778,0.10945677565026,0.190734661597214
"Gas6; Igf1; Plk3; Tnf;","GO:0043491~protein kinase B signaling",4,35,11.4285714285714,0.000217688715622444,0.0450857383281351
"Tnf;","GO:0043507~positive regulation of JUN kinase activity",1,40,2.5,0.269506890827654,0.329029885120879
"Hmox1; Star;","GO:0043524~negative regulation of neuron apoptotic process",2,163,1.22699386503067,0.358855717321115,0.404373090299557
"Tnf;","GO:0043525~positive regulation of neuron apoptotic process",1,72,1.38888888888889,0.428529518623579,0.465487850469935
"Ccl6; Ccl9; Kalrn;","GO:0043547~positive regulation of GTPase activity",3,149,2.01342281879195,0.110392246114345,0.192028470076526
"Igf1; Igfbp4;","GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway",2,11,18.1818181818182,0.0042641865636911,0.0942859029082809
"Col1a1;","GO:0043588~skin development",1,55,1.81818181818182,0.348887256044038,0.395379065790225
"Col1a1;","GO:0043589~skin morphogenesis",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Epas1; Hmox1;","GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress",2,7,28.5714285714286,0.00200791950953483,0.0744645692284336
"Hmox1;","GO:0043627~response to estrogen",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Ptgir;","GO:0043950~positive regulation of cAMP-mediated signaling",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Tnf;","GO:0044130~negative regulation of growth of symbiont in host",1,20,5,0.148515975665103,0.224921454774395
"Aqp1;","GO:0044241~lipid digestion",1,2,50,0.0226968899691784,0.120766874434933
"Nr1h3; Star;","GO:0044255~cellular lipid metabolic process",2,17,11.7647058823529,0.00907244170557442,0.120766874434933
"Cln8;","GO:0044257~cellular protein catabolic process",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Cln8;","GO:0044265~cellular macromolecule catabolic process",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Cln8;","GO:0044267~cellular protein metabolic process",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Lrp5;","GO:0044332~Wnt signaling pathway involved in dorsal/ventral axis specification",1,5,20,0.044881610440662,0.132908340441841
"Igfbp4;","GO:0044342~type B pancreatic cell proliferation",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Plk3;","GO:0044819~mitotic G1/S transition checkpoint",1,1,100,0.015188742610548,0.120766874434933
"Ifitm2; Rsad2; Tnf;","GO:0045071~negative regulation of viral genome replication",3,29,10.3448275862069,0.00183492905545812,0.0744645692284336
"Tnf;","GO:0045080~positive regulation of chemokine biosynthetic process",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"C1qb; Clec4a2; Clec4n; Csf1r; Fcer1g; Fcna; Ifitm2; Marco; Rsad2; Serping1;","GO:0045087~innate immune response",10,501,1.99600798403194,0.00596141488418434,0.116306035485557
"Des;","GO:0045109~intermediate filament organization",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Itgam; Tnf;","GO:0045123~cellular extravasation",2,4,50,0.000849328239563185,0.0528175998978356
"Csf1r;","GO:0045124~regulation of bone resorption",1,8,12.5,0.0665656515907663,0.150683519637438
"Csf1r;","GO:0045217~cell-cell junction maintenance",1,4,25,0.0375428967404717,0.128368323906424
"Tnf;","GO:0045416~positive regulation of interleukin-8 biosynthetic process",1,8,12.5,0.0665656515907663,0.150683519637438
"Igf1;","GO:0045428~regulation of nitric oxide biosynthetic process",1,2,50,0.0226968899691784,0.120766874434933
"Tnf;","GO:0045429~positive regulation of nitric oxide biosynthetic process",1,45,2.22222222222222,0.296981760765029,0.349700416522134
"Metrnl;","GO:0045444~fat cell differentiation",1,78,1.28205128205128,0.454261161973346,0.488637682338897
"Igf1;","GO:0045445~myoblast differentiation",1,16,6.25,0.122026637274517,0.200027189601556
"Hpgd; Igf1;","GO:0045471~response to ethanol",2,43,4.65116279069767,0.0461881795730925,0.135968161761027
"Cln8;","GO:0045494~photoreceptor cell maintenance",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Fcer1g; Fcgr3; Ndrg1;","GO:0045576~mast cell activation",3,13,23.0769230769231,0.000226561499136357,0.0450857383281351
"Igf1; Lrp5;","GO:0045600~positive regulation of fat cell differentiation",2,50,4,0.0597812509664821,0.146869986942345
"Alox12;","GO:0045603~positive regulation of endothelial cell differentiation",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Gas2l1;","GO:0045647~negative regulation of erythrocyte differentiation",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Ccl9; Tnf;","GO:0045662~negative regulation of myoblast differentiation",2,27,7.40740740740741,0.0204961290767579,0.120766874434933
"Lrp5; Tnf;","GO:0045668~negative regulation of osteoblast differentiation",2,58,3.44827586206897,0.0767500716736387,0.161793053634048
"Ifi204; Igf1;","GO:0045669~positive regulation of osteoblast differentiation",2,67,2.98507462686567,0.0973890061739138,0.180115355284469
"Tnf;","GO:0045670~regulation of osteoclast differentiation",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Csf1r; Tnf;","GO:0045672~positive regulation of osteoclast differentiation",2,26,7.69230769230769,0.0191774027802556,0.120766874434933
"Nr1h3;","GO:0045723~positive regulation of fatty acid biosynthetic process",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Igf1; Irs2;","GO:0045725~positive regulation of glycogen biosynthetic process",2,15,13.3333333333333,0.00728785128878573,0.120766874434933
"Igf1;","GO:0045740~positive regulation of DNA replication",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Tnf;","GO:0045760~positive regulation of action potential",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Tnfrsf12a;","GO:0045765~regulation of angiogenesis",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Alox12; Aqp1; Hmox1;","GO:0045766~positive regulation of angiogenesis",3,123,2.4390243902439,0.0719568091613216,0.156323945439657
"Tnfrsf12a;","GO:0045773~positive regulation of axon extension",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Trf;","GO:0045780~positive regulation of bone resorption",1,20,5,0.148515975665103,0.224921454774395
"Alox12; Tnf;","GO:0045785~positive regulation of cell adhesion",2,58,3.44827586206897,0.0767500716736387,0.161793053634048
"Hpgd;","GO:0045786~negative regulation of cell cycle",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Igf1;","GO:0045821~positive regulation of glycolytic process",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Igf1; Lrp5; Tnf;","GO:0045840~positive regulation of mitotic nuclear division",3,31,9.67741935483871,0.00218920895849839,0.0752987765898767
"Prkar1b;","GO:0045859~regulation of protein kinase activity",1,26,3.84615384615385,0.186767498684174,0.258461281211062
"Gas6; Tnf;","GO:0045860~positive regulation of protein kinase activity",2,61,3.27868852459016,0.0834617109281153,0.166088804746949
"Nr1h3;","GO:0045861~negative regulation of proteolysis",1,25,4,0.180513002792551,0.253329249335104
"Gas6; Nr1h3; Rasd1; Tnf;","GO:0045892~negative regulation of transcription, DNA-templated",4,488,0.819672131147541,0.518690054309997,0.550796802602398
"Col1a1; Igf1; Lrp5; Nfe2; Nr1h3; Tnf; Trf;","GO:0045893~positive regulation of transcription, DNA-templated",7,585,1.1965811965812,0.167255251962956,0.243470697993428
"Ptgs1;","GO:0045907~positive regulation of vasoconstriction",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Tnf;","GO:0045930~negative regulation of mitotic cell cycle",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Ppp1r15a;","GO:0045943~positive regulation of transcription from RNA polymerase I promoter",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Cavin2; Epas1; Igf1; Lrp5; Nr1h3; Slc40a1; Spic; Tnf;","GO:0045944~positive regulation of transcription from RNA polymerase II promoter",8,1029,0.777453838678328,0.537291203190911,0.566919138043432
"Ptgs1;","GO:0045987~positive regulation of smooth muscle contraction",1,24,4.16666666666667,0.174210690959664,0.248337589548519
"Tnf;","GO:0045994~positive regulation of translational initiation by iron",1,2,50,0.0226968899691784,0.120766874434933
"Gda;","GO:0046098~guanine metabolic process",1,2,50,0.0226968899691784,0.120766874434933
"Rtn2;","GO:0046324~regulation of glucose import",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Tnf;","GO:0046325~negative regulation of glucose import",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Igf1; Irs2;","GO:0046326~positive regulation of glucose import",2,33,6.06060606060606,0.0291593695195097,0.12498912959955
"Gadd45b; Tnf;","GO:0046330~positive regulation of JNK cascade",2,68,2.94117647058824,0.0997708025622152,0.181210358830769
"Csf1r;","GO:0046488~phosphatidylinositol metabolic process",1,23,4.34782608695652,0.167860199822605,0.243470697993428
"P2rx1;","GO:0046513~ceramide biosynthetic process",1,26,3.84615384615385,0.186767498684174,0.258461281211062
"Igf1;","GO:0046579~positive regulation of Ras protein signal transduction",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Ifitm2;","GO:0046597~negative regulation of viral entry into host cell",1,20,5,0.148515975665103,0.224921454774395
"Slc4a1;","GO:0046685~response to arsenic-containing substance",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Gas6;","GO:0046718~viral entry into host cell",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Csf1r;","GO:0046777~protein autophosphorylation",1,179,0.558659217877095,0.749189128419173,0.766916854708927
"Tppp3;","GO:0046785~microtubule polymerization",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Gas6;","GO:0046813~receptor-mediated virion attachment to host cell",1,4,25,0.0375428967404717,0.128368323906424
"Gas6;","GO:0046827~positive regulation of protein export from nucleus",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Lrp5;","GO:0046849~bone remodeling",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Lrp5;","GO:0046850~regulation of bone remodeling",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Aqp1;","GO:0046878~positive regulation of saliva secretion",1,5,20,0.044881610440662,0.132908340441841
"Kalrn;","GO:0046959~habituation",1,5,20,0.044881610440662,0.132908340441841
"Igf1;","GO:0048009~insulin-like growth factor receptor signaling pathway",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Csf1r; Igf1;","GO:0048015~phosphatidylinositol-mediated signaling",2,31,6.45161290322581,0.0261327159983189,0.12498912959955
"Aqp1; Gas6; Igf1;","GO:0048146~positive regulation of fibroblast proliferation",3,66,4.54545454545455,0.0157913311542031,0.120766874434933
"Kalrn;","GO:0048148~behavioral response to cocaine",1,24,4.16666666666667,0.174210690959664,0.248337589548519
"Kalrn; Star;","GO:0048168~regulation of neuronal synaptic plasticity",2,23,8.69565217391304,0.0154484125334077,0.120766874434933
"Ccl6; Ccl9;","GO:0048247~lymphocyte chemotaxis",2,26,7.69230769230769,0.0191774027802556,0.120766874434933
"Trf;","GO:0048260~positive regulation of receptor-mediated endocytosis",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Igf1;","GO:0048286~lung alveolus development",1,48,2.08333333333333,0.312971013509926,0.363792241171001
"Igf1;","GO:0048468~cell development",1,45,2.22222222222222,0.296981760765029,0.349700416522134
"Epas1;","GO:0048469~cell maturation",1,42,2.38095238095238,0.280622642239988,0.338038170737031
"Cavin3;","GO:0048511~rhythmic process",1,128,0.78125,0.628438062653249,0.652029063962443
"Slc40a1;","GO:0048536~spleen development",1,47,2.12765957446809,0.307681841738858,0.358481771112603
"Lrp5;","GO:0048539~bone marrow development",1,8,12.5,0.0665656515907663,0.150683519637438
"Idh1;","GO:0048545~response to steroid hormone",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Nr1h3;","GO:0048550~negative regulation of pinocytosis",1,5,20,0.044881610440662,0.132908340441841
"Aqp1;","GO:0048593~camera-type eye morphogenesis",1,25,4,0.180513002792551,0.253329249335104
"Epas1;","GO:0048625~myoblast fate commitment",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Tifab;","GO:0048634~regulation of muscle organ development",1,2,50,0.0226968899691784,0.120766874434933
"Kalrn;","GO:0048659~smooth muscle cell proliferation",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Alox12; Hmox1; Igf1; Tnf;","GO:0048661~positive regulation of smooth muscle cell proliferation",4,77,5.19480519480519,0.00343699310615619,0.0888602162982313
"Hmox1; Ptgir;","GO:0048662~negative regulation of smooth muscle cell proliferation",2,38,5.26315789473684,0.0372954562608586,0.128368323906424
"Col1a1;","GO:0048705~skeletal system morphogenesis",1,55,1.81818181818182,0.348887256044038,0.395379065790225
"Col1a1;","GO:0048706~embryonic skeletal system development",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Igf1;","GO:0048754~branching morphogenesis of an epithelial tube",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Tifab;","GO:0048806~genitalia development",1,8,12.5,0.0665656515907663,0.150683519637438
"C1qb; Ifi204; Igf1; Tifab;","GO:0048839~inner ear development",4,60,6.66666666666667,0.0014506013281671,0.0743677202200929
"Igf1;","GO:0050650~chondroitin sulfate proteoglycan biosynthetic process",1,8,12.5,0.0665656515907663,0.150683519637438
"Lst1;","GO:0050670~regulation of lymphocyte proliferation",1,1,100,0.015188742610548,0.120766874434933
"Htra1; Igf1;","GO:0050679~positive regulation of epithelial cell proliferation",2,75,2.66666666666667,0.11687753758691,0.196773519287607
"Htra1;","GO:0050687~negative regulation of defense response to virus",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Tnf;","GO:0050708~regulation of protein secretion",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Rsad2;","GO:0050709~negative regulation of protein secretion",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Gas6;","GO:0050711~negative regulation of interleukin-1 secretion",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Igf1;","GO:0050714~positive regulation of protein secretion",1,42,2.38095238095238,0.280622642239988,0.338038170737031
"Clec4n; Tnf;","GO:0050715~positive regulation of cytokine secretion",2,35,5.71428571428571,0.0323185128022225,0.128368323906424
"Metrnl; Nr1h3;","GO:0050728~negative regulation of inflammatory response",2,89,2.24719101123596,0.152989160321008,0.230895428710772
"Ldlr; Tnf;","GO:0050729~positive regulation of inflammatory response",2,51,3.92156862745098,0.0618231795200833,0.150683519637438
"Igf1;","GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation",1,106,0.943396226415094,0.55991393839041,0.588293947939237
"Igf1;","GO:0050732~negative regulation of peptidyl-tyrosine phosphorylation",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Fcer1g; Fcgr3; Gas6; Tnf;","GO:0050766~positive regulation of phagocytosis",4,47,8.51063829787234,0.000616040483649383,0.051080023435928
"Star;","GO:0050769~positive regulation of neurogenesis",1,34,2.94117647058824,0.235124805812759,0.299550808941992
"Kalrn;","GO:0050773~regulation of dendrite development",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Fcer1g; Fcgr3;","GO:0050776~regulation of immune response",2,30,6.66666666666667,0.0246705634835828,0.12498912959955
"Fcer1g;","GO:0050778~positive regulation of immune response",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Tnf;","GO:0050796~regulation of insulin secretion",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"Itgam;","GO:0050798~activated T cell proliferation",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Tnf;","GO:0050806~positive regulation of synaptic transmission",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Star;","GO:0050810~regulation of steroid biosynthetic process",1,8,12.5,0.0665656515907663,0.150683519637438
"Ank2; Igf1;","GO:0050821~protein stabilization",2,146,1.36986301369863,0.311622478069973,0.36264838091184
"Tnf;","GO:0050830~defense response to Gram-positive bacterium",1,88,1.13636363636364,0.494612494107228,0.528613782638767
"Clec4n;","GO:0050832~defense response to fungus",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Metrnl;","GO:0050873~brown fat cell differentiation",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"Cln8;","GO:0050881~musculoskeletal movement",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Cln8;","GO:0050884~neuromuscular process controlling posture",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Cln8; Tifab;","GO:0050885~neuromuscular process controlling balance",2,65,3.07692307692308,0.0926757449472053,0.175829591665275
"Tnf;","GO:0050900~leukocyte migration",1,33,3.03030303030303,0.22924007906151,0.294694933677264
"Tnf;","GO:0050901~leukocyte tethering or rolling",1,16,6.25,0.122026637274517,0.200027189601556
"Tnf;","GO:0050966~detection of mechanical stimulus involved in sensory perception of pain",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Igf1;","GO:0050974~detection of mechanical stimulus involved in sensory perception",1,5,20,0.044881610440662,0.132908340441841
"Tnf;","GO:0050995~negative regulation of lipid catabolic process",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Nr1h3;","GO:0051006~positive regulation of lipoprotein lipase activity",1,10,10,0.0807490818296668,0.162313810950542
"Cald1;","GO:0051017~actin filament bundle assembly",1,38,2.63157894736842,0.258220411791167,0.318375848490968
"Tnf;","GO:0051023~regulation of immunoglobulin secretion",1,5,20,0.044881610440662,0.132908340441841
"Tnf;","GO:0051044~positive regulation of membrane protein ectodomain proteolysis",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Hmox1;","GO:0051090~regulation of sequence-specific DNA binding transcription factor activity",1,16,6.25,0.122026637274517,0.200027189601556
"Lrp5; Tnf;","GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity",2,108,1.85185185185185,0.204749447160467,0.2741227452097
"Tnf;","GO:0051092~positive regulation of NF-kappaB transcription factor activity",1,111,0.900900900900901,0.576514955115945,0.604459831760133
"Alox12;","GO:0051122~hepoxilin biosynthetic process",1,5,20,0.044881610440662,0.132908340441841
"Tnf;","GO:0051222~positive regulation of protein transport",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Igf1;","GO:0051246~regulation of protein metabolic process",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Slc4a1;","GO:0051259~protein oligomerization",1,70,1.42857142857143,0.419687083418144,0.459393452146373
"Fcer1g; Hmox1; P2rx1;","GO:0051260~protein homooligomerization",3,210,1.42857142857143,0.221935070527994,0.290070228660996
"P2rx1;","GO:0051291~protein heterooligomerization",1,92,1.08695652173913,0.509909696521593,0.542051440212591
"Sept10;","GO:0051301~cell division",1,360,0.277777777777778,0.938289651646784,0.94574763726288
"Plk3;","GO:0051302~regulation of cell division",1,5,20,0.044881610440662,0.132908340441841
